,Source,SS,DF,F,p-unc,np2
0,Number of Timesteps,730.7476505861154,3,1.3218817327277737,0.2814805070273155,0.09449741995995792
1,Number of Flows,456.58275503692226,1,2.4777981956332074,0.12375387677871554,0.0612137592973255
2,Number of crossover flows,792.7181038391927,1,4.301948476305663,0.04489449584647599,0.10169622514469487
3,Number of Groups,287.6232160060765,1,1.5608830552184243,0.21917697910370654,0.03945521269178369
4,Residual,7002.242846887365,38,,,
0,Number of Flows,5278.248444851306,30,0.7026139473038384,0.7863995640202226,0.6570903260790055
1,Number of Timesteps,353.63464354177114,1,1.4122220774467693,0.25971178964425373,0.11377673301646786
2,Number of crossover flows,56.42919303898929,1,0.22534713065450335,0.6442803320144477,0.02007484739951773
3,Number of Groups,445.4879764221108,1,1.7790337203376354,0.2092267863232722,0.13921504233190424
4,Residual,2754.510881172729,11,,,
0,Number of crossover flows,7619.30291509516,40,0.282097250055351,0.9329831897486298,0.9185925631196826
1,Number of Timesteps,13.589578148815377,1,0.02012563442043032,0.9102846969444074,0.019728584148230338
2,Number of Flows,40.5664734901463,1,0.06007736268545844,0.8469769405278508,0.05667262107481144
3,Number of Groups,603.2081971516144,1,0.8933277782679739,0.5179434394744833,0.4718294362559846
4,Residual,675.237255379143,1,,,
0,Number of Groups,3095.610666337362,18,0.9129785754565842,0.572778522119826,0.41674126568602304
1,Number of Flows,35.8119695334293,1,0.19011437811621446,0.6668866462992118,0.008198078500881369
2,Number of crossover flows,167.35883492826883,1,0.8884549283150035,0.3556925795942054,0.0371918121528202
3,Number of Timesteps,5.494325349059069,1,0.029167629161793638,0.8658860972343911,0.0012665516023626802
4,Residual,4332.5250169420215,23,,,
0,Number of Timesteps,212.2409591093954,3,3.2243722534278128,0.033138845176157276,0.20290506301325212
1,Number of Flows,937.7951860532776,1,42.741054177244884,1.0452474870208858e-07,0.5293596251966018
2,Number of crossover flows,11.510698092955217,1,0.5246128132512702,0.4733166871717902,0.01361760118899416
3,Number of Groups,25.41117238155279,1,1.158142323206118,0.2886364141450382,0.029576028240741476
4,Residual,833.7701948633052,38,,,
0,Number of Flows,1680.5687049220296,30,4.387833320358683,0.006416627317495723,0.9228800783116479
1,Number of Timesteps,45.98650254674185,1,3.602014738886531,0.08424966108984347,0.24667929756939833
2,Number of crossover flows,1.754220620364993,1,0.1374039811657967,0.7179148287375592,0.012337164154066544
3,Number of Groups,102.25641558777023,1,8.009504869792515,0.016369025240294734,0.42134210883736384
4,Residual,140.43571853082733,11,,,
0,Number of crossover flows,1034.0424938872816,40,17.779938478435348,0.18625409618598926,0.9985958951764827
1,Number of Timesteps,10.695898622126439,1,7.356464385059198,0.22487333983084312,0.8803321651453534
2,Number of Flows,27.432094489757414,1,18.86734656441226,0.1440531115090007,0.9496661521075357
3,Number of Groups,10.029256917350466,1,6.897959108220232,0.23160357422765024,0.8733850117102789
4,Residual,1.4539455453423458,1,,,
0,Number of Groups,596.9644520032261,18,1.839666440268308,0.08415733763998463,0.5901200828611304
1,Number of Flows,786.3118531075069,1,43.61721608727622,9.73177046413707e-07,0.6547439032896939
2,Number of crossover flows,3.889238048727217,1,0.2157384957581177,0.6466731279041733,0.009292769032418957
3,Number of Timesteps,62.85080565460767,1,3.4863739630306907,0.07467366465839236,0.1316289639305449
4,Residual,414.6338130632864,23,,,
